grain_id,phase_id,phase_name,area_px,area_um2,centroid_x_px,centroid_y_px,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col,perimeter_px,equiv_diameter_px
64,0,SecondPhase,224,27.439999999999998,543.6651785714286,125.50892857142857,115,532,137,557,71.25483399593904,16.88803298257901
65,0,SecondPhase,52,6.369999999999999,163.8653846153846,121.38461538461539,119,159,125,170,25.899494936611667,8.136857890256438
66,0,SecondPhase,449,55.00249999999999,136.84409799554567,132.0423162583519,122,114,144,165,189.05992052357226,23.90992587997897
67,0,SecondPhase,106,12.984999999999998,625.7641509433962,137.45283018867926,132,621,145,631,37.31370849898476,11.617374563210365
68,0,SecondPhase,29,3.5524999999999993,641.8275862068965,134.10344827586206,132,639,137,646,17.071067811865476,6.076507779746499
69,0,SecondPhase,40,4.8999999999999995,956.2,134.975,133,951,138,962,23.899494936611667,7.136496464611085
70,0,SecondPhase,56,6.859999999999999,677.1607142857143,136.96428571428572,135,668,140,688,39.89949493661167,8.444016491289505
71,0,SecondPhase,222,27.194999999999997,594.6936936936937,151.1936936936937,136,587,167,605,96.46803743153546,16.812470934731934
72,0,SecondPhase,274,33.565,873.5875912408759,150.97445255474452,139,863,162,882,69.94112549695429,18.677998695187732
73,0,SecondPhase,1001,122.62249999999999,109.15284715284716,205.51348651348653,140,61,274,165,402.1147904132612,35.700319106135424
74,0,SecondPhase,116,14.209999999999997,813.9396551724138,145.3793103448276,140,805,151,826,48.83452377915607,12.153015559492998
75,0,SecondPhase,156,19.109999999999996,710.7179487179487,148.14743589743588,141,704,158,717,46.62741699796952,14.093451279891855
76,0,SecondPhase,876,107.30999999999999,969.3595890410959,164.02625570776254,141,932,190,994,357.19090885901,33.396973533360814
77,0,SecondPhase,65,7.962499999999999,403.67692307692306,151.01538461538462,142,401,161,408,41.55634918610404,9.09728368293446
78,0,SecondPhase,316,38.709999999999994,906.7658227848101,153.31962025316454,142,892,166,922,96.46194077712559,20.0585068271871
79,0,SecondPhase,750,91.87499999999999,93.27733333333333,163.67733333333334,145,40,190,123,303.62236636408613,30.90193616185517
80,0,SecondPhase,176,21.56,224.375,158.875,147,213,172,236,75.59797974644665,14.96964127403822
81,0,SecondPhase,104,12.739999999999998,997.9326923076923,158.78846153846155,155,988,163,1008,43.798989873223334,11.507254783503184
82,0,SecondPhase,93,11.392499999999998,7.645161290322581,161.4731182795699,156,0,169,19,59.284271247461895,10.881694613449236
