% MTEX ODF
% crystal symmetry: "m-3m"
% specimen symmetry: "1"
% phi1    Phi     phi2    value
130.00000 45.00000 0.00000 3.80210
135.00000 45.00000 0.00000 3.05438
140.00000 45.00000 0.00000 2.37665
145.00000 45.00000 0.00000 1.82013
150.00000 45.00000 0.00000 1.35978
155.00000 45.00000 0.00000 1.06394
160.00000 45.00000 0.00000 0.92531
165.00000 45.00000 0.00000 0.91039
170.00000 45.00000 0.00000 0.95646
175.00000 45.00000 0.00000 0.99543
180.00000 45.00000 0.00000 0.99799
185.00000 45.00000 0.00000 0.98100
190.00000 45.00000 0.00000 0.98020
195.00000 45.00000 0.00000 1.00402
200.00000 45.00000 0.00000 1.05896
